code,name,category,brand,model,unit,currency_code,sale_price,stock_quantity,minimum_stock,vat_rate,lead_time,description,technical_summary,is_active
TB3026B,BACNET FIXED FUNCTION THERMOSTAT,Thermostats,Honeywell,TB3026B,adet,USDTRY,520.00,0,0,20,,BACNET FIXED FUNCTION THERMOSTAT,Grup: Common | Alt kategori: Electronic Thermostats | Menşei: MX | Durum: Active,true
TB3026B-W,BACNET FF THERMOSTAT WIRELESS,Thermostats,Honeywell,TB3026B-W,adet,USDTRY,1090.96,0,0,20,,BACNET FF THERMOSTAT WIRELESS,Grup: Common | Alt kategori: Electronic Thermostats | Menşei: MX | Durum: Active,true
TB3140B/U,2/4P THERMOSTAT ON/OFF BACNET 220V BLACK,Thermostats,Honeywell,TB3140B/U,adet,USDTRY,227.63,0,0,20,,2/4P THERMOSTAT ON/OFF BACNET 220V BLACK,Grup: Common | Alt kategori: Electronic Thermostats | Menşei: TR | Durum: Active,true
TB3140W/U,2/4P THERMOSTAT ON/OFF BACNET220V WHITE,Thermostats,Honeywell,TB3140W/U,adet,USDTRY,220.00,0,0,20,,2/4P THERMOSTAT ON/OFF BACNET220V WHITE,Grup: Common | Alt kategori: Electronic Thermostats | Menşei: TR | Durum: Active,true
TB3240B/U,2/4P THERMOSTAT MOD BACNET 24VAC BLACK,Thermostats,Honeywell,TB3240B/U,adet,USDTRY,248.61,0,0,20,,2/4P THERMOSTAT MOD BACNET 24VAC BLACK,Grup: Common | Alt kategori: Electronic Thermostats | Menşei: TR | Durum: Active,true
TB3240W/U,2/4P THERMOSTAT MOD BACNET 24VAC WHITE,Thermostats,Honeywell,TB3240W/U,adet,USDTRY,255.96,0,0,20,,2/4P THERMOSTAT MOD BACNET 24VAC WHITE,Grup: Common | Alt kategori: Electronic Thermostats | Menşei: TR | Durum: Active,true
TB3240WC/U,2/4P THERMOSTAT MOD BACNET 24V WHITE PRC,Thermostats,Honeywell,TB3240WC/U,adet,USDTRY,245.47,0,0,20,,2/4P THERMOSTAT MOD BACNET 24V WHITE PRC,Grup: Common | Alt kategori: Electronic Thermostats | Menşei: CN | Durum: InActive,false
TC300B-G,"COMMERCIAL TSTAT, COMM, FCU 24V, GREY",Thermostats,Honeywell,TC300B-G,adet,USDTRY,370.00,0,0,20,,"COMMERCIAL TSTAT, COMM, FCU 24V, GREY",Grup: Field Devices | Alt kategori: Digital Touchscreen Thermostats | Menşei: MX | Durum: Active,true
TC300C-G,"COMMRCL TSTAT, COMM, FCU 100-277V, GREY",Thermostats,Honeywell,TC300C-G,adet,USDTRY,360.06,0,0,20,,"COMMRCL TSTAT, COMM, FCU 100-277V, GREY",Grup: Field Devices | Alt kategori: Digital Touchscreen Thermostats | Menşei: MX | Durum: Active,true
TC320B-G,"COMMRCL TSTAT, COMM-WRLS, FCU 24V, GREY",Thermostats,Honeywell,TC320B-G,adet,USDTRY,457.32,0,0,20,,"COMMRCL TSTAT, COMM-WRLS, FCU 24V, GREY",Grup: Field Devices | Alt kategori: Digital Touchscreen Thermostats | Menşei: US | Durum: Active,true
TC320C-G,"TSTAT,  110/270VAC,WIFI, RS485, GRAY",Thermostats,Honeywell,TC320C-G,adet,USDTRY,435.67,0,0,20,,"TSTAT,  110/270VAC,WIFI, RS485, GRAY",Grup: Field Devices | Alt kategori: Digital Touchscreen Thermostats | Menşei: US | Durum: Active,true
TR100-T-G,"Commercial Wall Module, T",Sensors and Wall Modules,Honeywell,TR100-T-G,adet,USDTRY,250.44,0,0,20,,"Commercial Wall Module, T",Grup: Field Devices | Alt kategori: Module with Setpoint | Menşei: US | Durum: Active,true
