code,name,category,brand,model,unit,currency_code,sale_price,stock_quantity,minimum_stock,vat_rate,lead_time,description,technical_summary,is_active
DANFOSS-FC-51-0-75-KW-001,"FC 51 0,75 kW Frekans Konvertörü 400 V AC, 2.2A, %150 Yüklenme IP 20, RFI Filtre, Modbus RTU",Inverter,Danfoss,"FC 51 0,75 kW",adet,EURTRY,123.06,0,0,20,,"FC 51 0,75 kW Frekans Konvertörü 400 V AC, 2.2A, %150 Yüklenme IP 20, RFI Filtre, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-1-5-KW-002,"FC 51 1,5 kW Frekans Konvertörü, 400 V AC, 3.7A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,"FC 51 1,5 kW",adet,EURTRY,166.47,0,0,20,,"FC 51 1,5 kW Frekans Konvertörü, 400 V AC, 3.7A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-2-2-KW-003,"FC 51 2.2 kW Frekans Konvertörü, 400 V AC, 5.3A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,FC 51 2.2 kW,adet,EURTRY,207.97,0,0,20,,"FC 51 2.2 kW Frekans Konvertörü, 400 V AC, 5.3A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-3-KW-004,"FC 51 3 kW Frekans Konvertörü, 400 V AC, 7.2A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,FC 51 3 kW,adet,EURTRY,236.10,0,0,20,,"FC 51 3 kW Frekans Konvertörü, 400 V AC, 7.2A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-4-KW-005,"FC 51 4 kW Frekans Konvertörü, 400 V AC, 9A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,FC 51 4 kW,adet,EURTRY,255.66,0,0,20,,"FC 51 4 kW Frekans Konvertörü, 400 V AC, 9A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-5-5-KW-006,"FC 51 5,5 kW Frekans Konvertörü, 400 V AC 12A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,"FC 51 5,5 kW",adet,EURTRY,298.59,0,0,20,,"FC 51 5,5 kW Frekans Konvertörü, 400 V AC 12A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-7-5-KW-007,"FC 51 7,5 kW Frekans Konvertörü, 400 V AC, 15,5A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,"FC 51 7,5 kW",adet,EURTRY,338.66,0,0,20,,"FC 51 7,5 kW Frekans Konvertörü, 400 V AC, 15,5A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-11-KW-008,"FC 51 11 kW Frekans Konvertörü, 400 V AC, 23A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,FC 51 11 kW,adet,EURTRY,488.43,0,0,20,,"FC 51 11 kW Frekans Konvertörü, 400 V AC, 23A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-15-KW-009,"FC 51 15 kW Frekans Konvertörü, 400 V AC, 31A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,FC 51 15 kW,adet,EURTRY,564.27,0,0,20,,"FC 51 15 kW Frekans Konvertörü, 400 V AC, 31A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-18-5-KW-010,"FC 51 18,5 kW Frekans Konvertörü, 400 V AC, 37A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,"FC 51 18,5 kW",adet,EURTRY,697.35,0,0,20,,"FC 51 18,5 kW Frekans Konvertörü, 400 V AC, 37A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-FC-51-22-KW-011,"FC 51 22 kW Frekans Konvertörü, 400 V AC, 43A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Inverter,Danfoss,FC 51 22 kW,adet,EURTRY,818.98,0,0,20,,"FC 51 22 kW Frekans Konvertörü, 400 V AC, 43A %150 Yüklenme IP 20, RFI Filtre, Kıyıcı, Modbus RTU",Seri: Danfoss VLT® Micro Drives,true
DANFOSS-LCP-11-012,VLT® Control Panel LCP 11 Numerik Panel,Kontrol Panelleri,Danfoss,LCP 11,adet,EURTRY,20.64,0,0,20,,VLT® Control Panel LCP 11 Numerik Panel,Seri: Danfoss VLT® Options,true
DANFOSS-FC-101-0-75-KW-013,"FC 101 0,75 kW Frekans Konvertörü, 400 VAC, 2,2A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,"FC 101 0,75 kW",adet,EURTRY,166.28,0,0,20,,"FC 101 0,75 kW Frekans Konvertörü, 400 VAC, 2,2A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
DANFOSS-FC-101-1-5-KW-014,"FC 101 1,5 kW Frekans Konvertörü, 400 VAC, 3,7A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,"FC 101 1,5 kW",adet,EURTRY,221.07,0,0,20,,"FC 101 1,5 kW Frekans Konvertörü, 400 VAC, 3,7A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
DANFOSS-FC-101-2-2-KW-015,"FC 101 2,2 kW Frekans Konvertörü, 400 VAC, 5,3A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,"FC 101 2,2 kW",adet,EURTRY,269.19,0,0,20,,"FC 101 2,2 kW Frekans Konvertörü, 400 VAC, 5,3A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
DANFOSS-FC-101-3-KW-016,"FC 101 3 kW Frekans Konvertörü, 400 VAC, 7,2A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,FC 101 3 kW,adet,EURTRY,301.11,0,0,20,,"FC 101 3 kW Frekans Konvertörü, 400 VAC, 7,2A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
DANFOSS-FC-101-4-KW-017,"FC 101 4 kW Frekans Konvertörü, 400 VAC, 9,1A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,FC 101 4 kW,adet,EURTRY,321.60,0,0,20,,"FC 101 4 kW Frekans Konvertörü, 400 VAC, 9,1A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
DANFOSS-FC-101-5-5-KW-018,"FC 101 5,5 kW Frekans Konvertörü, 400 VAC, 12A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,"FC 101 5,5 kW",adet,EURTRY,372.10,0,0,20,,"FC 101 5,5 kW Frekans Konvertörü, 400 VAC, 12A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
DANFOSS-FC-101-7-5-KW-019,"FC 101 7,5 kW Frekans Konvertörü, 400 VAC, 15,5A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,"FC 101 7,5 kW",adet,EURTRY,418.79,0,0,20,,"FC 101 7,5 kW Frekans Konvertörü, 400 VAC, 15,5A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
DANFOSS-FC-101-11-KW-020,"FC 101 11 kW Frekans Konvertörü, 400 VAC, 23A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,FC 101 11 kW,adet,EURTRY,554.51,0,0,20,,"FC 101 11 kW Frekans Konvertörü, 400 VAC, 23A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
DANFOSS-FC-101-15-KW-021,"FC 101 15 kW Frekans Konvertörü, 400 VAC, 31A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Inverter,Danfoss,FC 101 15 kW,adet,EURTRY,635.48,0,0,20,,"FC 101 15 kW Frekans Konvertörü, 400 VAC, 31A %110 Yüklenme, IP 20, EMC/RFI Filtre, Modbus RTU, Bacnet",Seri: Danfoss VLT® Hvac Drives,true
