"code","name","category","brand","model","unit","currency_code","sale_price","stock_quantity","minimum_stock","vat_rate","lead_time","description","technical_summary","is_active"
"WD750-2A3-2","WellDrive WD750 0.4 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 0.4 kW Inverter","Seri: WD750 | Referans: WD750-2A3-2 | Giris: 1 Faz, 200-230 Vac | Nominal akim: 2,3 A","true"
"WD750-4A0-2","WellDrive WD750 0.75 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 0.75 kW Inverter","Seri: WD750 | Referans: WD750-4A0-2 | Giris: 1 Faz, 200-230 Vac | Nominal akim: 4 A","true"
"WD750-7A0-2","WellDrive WD750 1.5 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 1.5 kW Inverter","Seri: WD750 | Referans: WD750-7A0-2 | Giris: 1 Faz, 200-230 Vac | Nominal akim: 7 A","true"
"WD750-9A6-2","WellDrive WD750 2.2 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 2.2 kW Inverter","Seri: WD750 | Referans: WD750-9A6-2 | Giris: 1 Faz, 200-230 Vac | Nominal akim: 9,6 A","true"
"WD750-13A-2","WellDrive WD750 3 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 3 kW Inverter","Seri: WD750 | Referans: WD750-13A-2 | Giris: 1 Faz, 200-230 Vac | Nominal akim: 13 A","true"
"WD750-17A-2","WellDrive WD750 4 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 4 kW Inverter","Seri: WD750 | Referans: WD750-17A-2 | Giris: 1 Faz, 200-230 Vac | Nominal akim: 17 A","true"
"WD750-25A-2","WellDrive WD750 5.5 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 5.5 kW Inverter","Seri: WD750 | Referans: WD750-25A-2 | Giris: 1 Faz, 200-230 Vac | Nominal akim: 25 A","true"
"WD750-32A-2","WellDrive WD750 7.5 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 7.5 kW Inverter","Seri: WD750 | Referans: WD750-32A-2 | Giris: 1 Faz, 200-230 Vac | Nominal akim: 32 A","true"
"WD750-2A1-4","WellDrive WD750 0.75 - 1.5 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 0.75 - 1.5 kW Inverter","Seri: WD750 | Referans: WD750-2A1-4 | Giris: 3 Faz, 380-440 Vac | Nominal akim: 2,1 A / 3,8 A","true"
"WD750-3A8-4","WellDrive WD750 1.5 - 2.2 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 1.5 - 2.2 kW Inverter","Seri: WD750 | Referans: WD750-3A8-4 | Giris: 3 Faz, 380-440 Vac | Nominal akim: 3,8 A / 5,1 A","true"
"WD750-5A1-4","WellDrive WD750 2.2 - 4 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 2.2 - 4 kW Inverter","Seri: WD750 | Referans: WD750-5A1-4 | Giris: 3 Faz, 380-440 Vac | Nominal akim: 5,1 A / 9 A","true"
"WD750-9A0-4","WellDrive WD750 4 - 5.5 kW Inverter","Inverter","WellDrive","WD750","adet","USDTRY","0","0","0","20","","WellDrive WD750 4 - 5.5 kW Inverter","Seri: WD750 | Referans: WD750-9A0-4 | Giris: 3 Faz, 380-440 Vac | Nominal akim: 9 A / 13 A","true"
